id,source_situation,source_emotion_big,source_emotion_small,source_dialogue,diary,summary
train_28,"대인관계(부부, 자녀)",상처,충격 받은,얼마 전 아들아이가 나에게 엄마 목소리가 늘 화가 나 있어서 말하기가 싫다는 거야. 아드님에게 그런 이야기를 들으셔서 기분이 상하셨겠어요. 난 너무 충격을 받아 어디 숨어버리고 싶더라고. 그 후로 아드님과 다시 이야기해 보셨어요? 내가 왜 화를 내는 말투를 하고 있나 반성하고 있어. 말을 부드럽게 하려고 노력도 하고 나서 다시 얘기해 보려고. 말투를 조금 바꾸고 나서 아드님과 대화를 해보려고 하시는군요.,"얼마 전 아들이 나한테 엄마 목소리가 화가 나서 말하기 싫다고 했어. 그 말을 듣고 너무 충격이었고, 숨고 싶더라. 그래서 요즘은 아들과 대화할 때 말투를 부드럽게 하려고 노력하고 있어. 아들이랑 다시 이야기해보려고 하니까 마음이 한결 편해지는 것 같아.",1. 아들이 나에게 솔직한 마음을 털어놓고 있다. 2. 엄마의 표정이 놀라움과 반성으로 가득 차 있다. 3. 따뜻한 분위기 속에서 아들과의 대화가 시작될 준비를 하고 있다.
train_33,"대인관계(부부, 자녀)",불안,걱정스러운,우리 아이는 내가 많이 무서운가 봐. 말을 통 안 해. 아이가 요즘 들어 말을 안 하는 건가요? 응 그렇지. 예전에는 안 그랬는데 요즘은 방어적인 태도로만 날 대해. 어떻게 하는 게 도움이 될까요? 이해는 하면서 아이와 대화를 많이 해봐야겠어. 대화를 나누시고 이해해주신다면 잘 해결될 거예요.,"요즘 우리 아이가 나한테 말을 잘 안 하네. 예전에는 잘 웃고 대화도 많이 했는데, 요즘은 방어적인 모습만 보여. 그래서 내가 더 이해해주려고 노력하고 있어. 아이와 대화를 많이 나누면 조금씩 나아질 거라 믿어.",1. 아이가 방어적인 태도로 나를 바라보고 있다. 2. 대화를 나누려는 내 마음이 아이에게 전해지길 바란다. 3. 조용한 방 안에서 서로의 눈빛이 교감하고 있다.
train_37,"연애,결혼,출산",슬픔,슬픔,다음 달이 출산 예정일인데 이제는 옛날로 돌아갈 수 없다는 게 슬퍼. 어떤 옛날로 돌아가실 수 없다고 생각하시나요? 응. 사실 내가 놀러 다니는 것도 좋아하는데 주변 사람들을 보면 아기 낳고 나면 자기 삶이 없어지는 것 같더라고. 그렇게 생각하실 수 있겠네요. 또 다른 걱정이 있으신가요? 내가 아기를 잘 케어하고 엄마가 되었다는 것에 잘 적응할 수 있을까? 이런 고민을 해. 그런 고민을 하고 계시는군요. 잘하실 수 있을 거예요.,"다음 달에 아기를 낳게 된다는 생각에 슬프기도 하고, 기대되기도 해. 주변에서 아기를 낳고 나면 자기 삶이 없어지는 것 같다고 하더라. 나도 그런 걱정이 드는 건 사실이야. 아기를 잘 케어할 수 있을지, 엄마로서 잘 적응할 수 있을지 고민이 많아. 그래도 잘할 수 있을 거라고 믿어.","1. 아기가 태어날 날이 다가오고, 마음이 복잡해진다. 2. 주변의 이야기들이 머릿속을 맴돈다. 3. 아기를 잘 돌볼 수 있을지 고민하는 모습이 떠오른다."
train_38,"연애,결혼,출산",기쁨,감사하는,오늘 나의 아기가 태어났어. 무사히 태어나서 정말 고맙고 기특해. 엄청 행복하시겠어요. 예쁜 아기를 보니 마음이 어떠신가요? 나를 닮은 얼굴을 보니 감회가 새로워. 열심히 살아야겠어. 정말 경사네요. 축하드려요.,"오늘 아기가 태어났어. 무사히 태어나서 정말 고맙고 기특해. 예쁜 아기를 보니 마음이 너무 행복하네. 나를 닮은 얼굴을 보니 감회가 새롭고, 앞으로 열심히 살아야겠다는 생각이 들어. 정말 경사로운 날이야.",1. 아기가 조용히 누워 있는 모습이 참 사랑스럽다. 2. 작은 손가락이 나를 꼭 잡고 있는 듯한 느낌이 든다. 3. 방 안이 따뜻한 햇살로 가득 차 있다.
train_39,"연애,결혼,출산",기쁨,편안한,내 아기가 자는 모습을 보니 마음이 평온해져. 아기의 자는 모습이 아주 예쁜가 보네요. 응. 하늘에서 천사가 내려오면 이렇게 생겼으려나? 아기가 매우 사랑스러워 보이겠어요. ,"오늘 아기가 자는 모습을 보니 마음이 참 평온해졌어. 아기의 자는 모습이 너무 예쁘고, 하늘에서 천사가 내려오면 이렇게 생겼을까 싶더라. 아기가 정말 사랑스러워 보였어.","1. 아기가 포근한 이불 속에서 조용히 꿈나라에 빠져 있다.
2. 작은 숨결이 방 안을 따뜻하게 감싸고 있다.
3. 부드러운 조명이 아기의 얼굴을 은은하게 비추고 있다."
train_40,"대인관계(부부, 자녀)",당황,죄책감의,우리 아이가 요즘 왜 저러나 모르겠어! 아이에게 무슨 문제라도 생겼나요? 너무 경직되어 있어서 말이야. 잘하라고 늘 강조했더니 실수할까 봐 저렇게 되었나 봐. 아이가 움츠러들었나 보네요. 해결 방안이 있을까요? 내가 잘 못 가르친 것 같아. 자신감 있게 키워 봐야지. 아이를 키우는 방식을 바꿔보려 하시는군요.,"요즘 아이가 왜 이렇게 경직되어 있는지 모르겠어. 잘하라고 계속 강조했더니, 실수할까 봐 움츠러드는 것 같아. 내가 잘 못 가르친 것 같아서 마음이 아프네. 자신감 있게 키워야겠다고 다짐했어. 아이를 키우는 방식을 조금 바꿔보려 해.","1. 아이가 긴장한 듯 움츠러들어 있다. 2. 엄마의 걱정 어린 눈빛이 아이를 바라보고 있다. 3. 방 안은 조용하고, 아이의 작은 숨소리만 들린다."
train_43,"대인관계(부부, 자녀)",슬픔,후회되는,오늘 아이에게 화낸 게 신경 쓰여. 아이에게 화낸 게 후회되시는군요. 응. 좋게 말하면 될 것을 너무 심하게 말해버렸어. 어떻게 하면 아이와의 관계가 회복될 수 있을까요?,"오늘 아이에게 화내고 나서 마음이 무거워. 좋은 말로 할 수 있었는데, 너무 심하게 말해버렸어. 아이가 나를 쳐다보는 눈빛이 너무 슬퍼 보여서 마음이 아팠어. 어떻게 하면 다시 예전처럼 웃으며 놀 수 있을까 고민해봤어.","1. 아이가 슬픈 표정으로 나를 바라보고 있다. 2. 방 안은 조용하고, 아이의 작은 손이 내 손을 꼭 잡고 있다. 3. 창가에 비치는 햇살이 아이의 얼굴을 부드럽게 감싸고 있다."
train_46,"대인관계(부부, 자녀)",기쁨,자신하는,아이가 자수를 가르쳐 달라기에 허락했어. 자수를 잘 놓으시나 보군요. 어릴 때 취미로 많이 해서 자신 있지. 자녀와 취미생활을 같이해서 너무 좋으시겠어요.,"오늘 아이가 자수를 배우고 싶다고 해서 허락해줬어. 자수를 잘 놓는다고 하니, 어릴 때 취미로 많이 했던 기억이 나네. 아이와 함께 취미생활을 할 수 있어서 정말 좋다. 아이가 자수를 놓는 모습을 보니, 정말 뿌듯하더라.",1. 아이가 자수를 놓기 위해 실과 바늘을 들고 집중하고 있다. 2. 작은 손이 조심스럽게 실을 꿰고 있는 모습이 귀엽다. 3. 자수의 색깔이 화사하게 빛나며 방 안을 따뜻하게 감싼다.
train_59,"대인관계(부부, 자녀)",슬픔,눈물이 나는,오늘 아들 생일인데 아들이 잘 키워주셔서 감사하다고 하는 거야. 아들 말에 눈물이 나더라고. 아들 말에 눈물이 날 정도로 감동하셨군요. 이런 맛에 힘들어도 자식을 낳고 키우는구나 싶더라고. 힘든 만큼 보람을 느끼시는 것 같아요.,오늘 아들 생일이었어. 아들이 잘 자라줘서 고맙다고 하니까 눈물이 나더라. 그런 말 한마디에 힘든 것도 다 잊게 되네. 아들이 이렇게 자라는 모습을 보니 정말 보람차고 행복해.,1. 아들이 생일 케이크 앞에서 환하게 웃고 있다. 2. 작은 손으로 촛불을 끄는 모습이 사랑스럽다. 3. 가족이 함께 모여 아들의 생일을 축하하는 따뜻한 분위기가 느껴진다.
train_63,"연애,결혼,출산",슬픔,우울한,아기는 너무 예쁘지만 가끔 혼자 있고 싶어. 너무 답답해. 정말 아기가 예뻐도 종일 같이 있으려면 정말 힘드시겠어요. 아기가 싫거나 미워서 그런 게 아닌데 아기한테도 미안해. 아기한테도 죄책감이 느껴져서 힘드실 것 같아요. 최대한 부정적인 감정 안 가지려고 노력하는데도 스트레스가 머리 꼭대기까지 차오를 때가 있어. 주위에 도움받을 곳이 없으셔서 더 힘드실 것 같아요. 마음을 나눌 사람이 있나요?,"아기가 너무 예쁘긴 한데, 가끔 혼자 있고 싶을 때가 있어. 하루 종일 아기랑 같이 있으려니 힘들 때도 많더라. 아기한테 미안한 마음이 드는 건 어쩔 수 없네. 그래도 최대한 긍정적으로 생각하려고 노력하는데, 스트레스가 쌓일 때가 있어. 주위에 도움받을 사람이 없어서 더 힘든 것 같아.","1. 아기가 예쁜 얼굴로 나를 바라보고 있다. 2. 방 안은 조용하고, 아기의 작은 숨소리가 들린다. 3. 아기와 함께 있는 시간이 가끔은 힘들기도 하다."
train_67,"연애,결혼,출산",기쁨,흥분,내일이면 작년에 낳은 아기의 돌잔치야. 벌써 시간이 이렇게 지났다니 정말 흥분돼. 아기가 벌써 돌이 되어서 기분이 좋으시군요. 응. 앞으로도 건강하게 잘 자랐으면 좋겠어. 저도 응원합니다.,"내일은 아기의 돌잔치야. 시간이 이렇게 빨리 지나가다니, 정말 신기해. 아기가 벌써 돌이 되다니, 기분이 너무 좋네. 앞으로도 건강하게 잘 자라길 바래.",1. 아기가 돌잔치 준비로 분주한 집안에서 웃고 있다. 2. 가족들이 아기를 축하하기 위해 모여들고 있다. 3. 아기의 얼굴에 행복한 미소가 가득하다.
train_69,"대인관계(부부, 자녀)",기쁨,편안한,아이가 게임만 해요. 아이가 게임만 해서 속상하시겠어요. 네. 저는 아이 앞일이 걱정인데 그래서 답답해요. 답답하시겠어요. 아이가 어떻게 했으면 좋으시겠어요? 저는 아이가 게임 줄이고 책을 좀 읽고 했으면 하는데. 책을 좀 읽었으면 하는 거군요.,요즘 아이가 게임만 하느라 속상해. 게임 줄이고 책도 좀 읽었으면 좋겠어. 아이 앞일이 걱정되니까 답답하네. 그래도 아이가 책 읽는 모습 상상하면 마음이 좀 편해져.,1. 아이가 소파에 앉아 게임에 몰두하고 있다. 2. 주변에는 책들이 쌓여 있어 아이가 읽지 않는 모습이 보인다. 3. 엄마는 아이를 바라보며 걱정스러운 표정을 짓고 있다.
train_77,"대인관계(부부, 자녀)",불안,조심스러운,요즘 딸아이 때문에 힘이 들어. 딸과의 마찰로 힘든 상황이시군요. 딸아이다 보니 집에 들어오는 시간이나 외출 일정 같은 거 물어보는데 자꾸 짜증을 내니 말 걸기도 무서워. 딸이라 걱정돼서 묻는 건데 짜증을 내니 말하기가 조심스러우시겠어요.,"요즘 딸이랑 자주 마찰이 생겨서 힘들어. 집에 들어오는 시간이나 외출 일정 물어보면 자꾸 짜증을 내서 말 걸기가 무서워. 딸이라 더 걱정되는데, 이렇게 되니 나도 마음이 복잡해지네.",1. 딸이 짜증을 내며 방 안에서 불편한 표정을 짓고 있다. 2. 엄마는 걱정스러운 눈빛으로 딸을 바라보고 있다. 3. 집안은 조용하지만 긴장감이 감돌고 있다.
train_81,"대인관계(부부, 자녀)",기쁨,만족스러운,아이들과 친하게 지낼 수 있어서 좋아! 아이들과 사이좋게 지내게 되어 아주 좋으시겠어요. 좋은 관계를 계속 유지하고 싶어. 좋은 관계를 유지하고 싶으시군요! 그러기 위해 어떤 아버지가 되고 싶으신가요? 아이들을 잘 이해하는 아빠가 되고 싶어. 아이들의 말을 잘 들어주는 사려 깊은 아버지가 되고 싶으신 것 같아요!,"아이들과 친하게 지낼 수 있어서 정말 좋아. 아이들이랑 사이좋게 지내는 게 얼마나 중요한지 느끼고 있어. 아이들의 말을 잘 들어주고, 이해해주는 아빠가 되고 싶어. 오늘도 아이들이랑 함께 놀면서 좋은 관계를 계속 유지하고 싶다는 생각이 들었어.",1. 아이들이 웃으며 놀고 있는 모습이 참 사랑스럽다. 2. 아이들의 목소리가 방 안에 가득 차서 따뜻한 분위기를 만든다. 3. 아이들과의 소중한 순간들이 마음을 편안하게 해준다.
train_89,"연애,결혼,출산",기쁨,만족스러운,나 얼마 전에 딸아이가 태어났어. 딸아이가 태어났군요. 가정에 행복이 가득하겠어요. 요즘 내 삶의 만족도가 최고인 거 같아. 따님의 탄생이 삶의 만족도를 최고로 끌어올려 주는군요. 앞으로 우리 아이를 위해서 열심히 살 거야. 따님의 탄생으로 삶의 만족도가 오르셨군요.,"얼마 전에 딸아이가 태어났어. 이제 내 삶이 정말 행복해졌어. 아기를 위해서 더 열심히 살아야겠다는 생각이 들어. 아기가 내 곁에 있다는 것만으로도 이렇게 기분이 좋다니, 정말 신기해.","1. 아기가 태어난 지 얼마 되지 않아, 방 안이 따뜻한 행복으로 가득 차 있다. 2. 엄마의 얼굴에 미소가 가득하고, 아기를 바라보는 눈빛이 사랑스럽다. 3. 아기의 존재가 엄마의 삶에 큰 기쁨을 주고 있다."
train_94,"대인관계(부부, 자녀)",기쁨,만족스러운,최근 아들에게 자전거를 한 대 사줬어. 자전거를 사줘서 자녀분이 많이 좋아하시겠군요. 요즘에는 매일 자전거 타러 가자고 해. 그래서인지 아들하고 더 친해진 것 같아. 아드님과 함께 자전거를 타며 가까워지고 계시는군요. 어디로 자전거를 타러 가시나요? 동네 놀이터에서 타는데 아주 행복한 생활이야. 아들과 행복한 시간을 보내고 계시는군요.,"최근에 아들에게 자전거를 사줬어. 자전거를 타고 놀이터에 가면 아들이 정말 신나하더라. 매일 자전거 타러 가자고 조르는데, 그 모습이 너무 귀여워. 아들과 함께 자전거를 타면서 더 가까워진 것 같아. 행복한 시간이 계속되고 있어.",1. 아들이 자전거를 타고 신나게 놀이터로 달려간다. 2. 자전거 바퀴가 땅을 가르며 경쾌한 소리를 낸다. 3. 아들의 얼굴에 환한 미소가 가득하다.
train_95,"연애,결혼,출산",당황,혼란스러운,아기는 처음 가져봐서 혼란스러워. 아이의 탄생으로 걱정이 많으시군요. 아이의 마음을 읽기가 너무 어렵네. 어떤 부분에서 어려움이 있으신가요? 아이가 울 때마다 이유를 알기가 쉽지 않아. 아이가 울 때 이유를 알 수 없어 답답하시겠네요.,아기를 처음 키우다 보니 혼란스러워. 아이가 울 때마다 이유를 알기가 너무 어렵네. 가끔은 답답하기도 해. 그래도 아이의 마음을 읽으려고 노력하고 있어. 오늘도 아기와 함께하는 시간이 소중하다는 걸 느꼈어.,1. 아기가 울고 있는 모습이 안쓰럽다. 2. 엄마가 아기를 안고 다독이며 마음을 전하고 있다. 3. 방 안은 따뜻한 분위기로 가득 차 있다.
train_97,"연애,결혼,출산",기쁨,흥분,곧 아기가 태어날 것 같아서 흥분된다. 아기가 곧 태어날 생각에 많이 들뜨셨나 봐요. 날 닮으면 정말 예쁠 거야. 사용자님을 닮아 예쁠 아기를 볼 생각에 두근거리시는군요.,아기가 곧 태어날 생각에 정말 흥분돼. 날 닮으면 예쁠 거라는 생각에 두근거려. 아기가 내 품에 안길 날이 기다려져서 마음이 설레네.,1. 아기가 태어날 날을 기다리며 설레는 마음이 가득하다. 2. 엄마의 얼굴에 미소가 번지며 기대감이 느껴진다. 3. 따뜻한 햇살이 방 안을 부드럽게 감싸고 있다.
train_98,"대인관계(부부, 자녀)",기쁨,기쁨,아이와 여행 다녀왔어. 아이와 여행을 다녀오셨군요. 자세히 말씀해 주세요. 아이와 여행을 가서 시간을 많이 보냈어. 너무 즐겁고 좋았지. 아이와 함께 시간을 보내 즐거우신 것 같아요. 어떤 점이 좋으셨나요? 아이에게 추억을 많이 쌓아준 것 같아 너무 뿌듯하고 행복해. 아이에게 추억이 생긴 것이 기쁘셨군요.,"아이와 함께 여행 다녀왔어. 아이가 신나서 여기저기 뛰어다니고, 웃는 모습이 너무 예쁘더라. 추억을 많이 쌓아준 것 같아서 뿌듯하고 행복해. 아이와의 소중한 시간이 정말 소중하게 느껴졌어.",1. 아이가 여행지에서 신나게 뛰어다니며 웃고 있다. 2. 주변 풍경이 아이의 즐거운 표정과 어우러져 있다. 3. 따뜻한 햇살 아래에서 아이와 함께하는 순간이 특별하게 느껴진다.
train_99,"대인관계(부부, 자녀)",당황,죄책감의,나만 좋자고 바쁘게 살아온 게 아닌데 우리 딸내미한테 미안해 죽겠어. 나는 따님에게 미안함을 느끼고 있군요. 부모 참관일에 내가 일 때문에 늦었는데 우리 딸만 혼자 남아있더라고. 날 보며 웃는데 마음이 너무 아팠어. 참관일에 늦었는데 명현님을 보고 웃는 따님을 보니 미안한 마음이 더욱 커졌군요.,"오늘 부모 참관일에 늦어서 딸이 혼자 남아있었어. 나를 보며 웃는 딸을 보니 마음이 아팠어. 미안한 마음이 가득했지만, 그 웃음이 너무 예뻤어. 앞으로 더 많이 함께해주고 싶어.",1. 딸이 혼자 남아있던 교실에서 나를 보며 환하게 웃고 있다. 2. 그 웃음이 나의 마음을 따뜻하게 감싸준다. 3. 부모 참관일의 긴장감 속에서도 아이의 순수한 미소가 빛난다.
train_105,"대인관계(부부, 자녀)",불안,걱정스러운,우리 딸은 남의 시선을 의식하지 않고 막 행동해서 걱정이야. 따님이 제멋대로 행동하는 것처럼 보여 걱정이시군요. 무슨 문제라도 발생했었나요? 버스 안에서 지나치게 오래 통화해서 내가 조금 혼을 냈어. 따님이 타인을 좀 더 배려하는 마음에서 혼을 내셨던 거군요.,"오늘 딸이 버스 안에서 통화하는 걸 보고 조금 걱정이 됐어. 다른 사람들 시선은 전혀 의식하지 않고 제멋대로 행동하더라. 그래서 혼을 좀 내줬지. 그래도 그런 모습이 귀엽기도 하고, 나중에 더 배려하는 마음을 가졌으면 좋겠어.",1. 딸이 버스 안에서 통화하며 주변을 전혀 신경 쓰지 않는다. 2. 엄마가 딸에게 혼을 내는 모습이 보인다. 3. 버스 안의 다른 승객들이 딸의 행동을 바라보고 있다.
